currency,nodes,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated,blocktime in configuration file
memo,1000,4096,1000,1000,0.01,4,0.46043527990678507,4096,503500,sharded,8898.101815372262,500,0.2
memo,1000,10000,1000,6554,0.01,4,3.530873286894757,65536,503500,sharded,18561.130540494934,500,0.2
memo,1000,8192,1000,1000,0.01,4,0.66282797226999,8192,503500,sharded,12360.673270835863,500,0.2
memo,1000,1024,1000,1000,0.01,8,0.2753127906138458,1024,507500,sharded,3723.038067772401,500,0.2
memo,1000,10000,1000,13108,0.01,8,3.526626282673025,131072,507500,sharded,37166.68268593874,500,0.2
memo,1000,10000,1000,1639,0.01,8,0.6609684839179341,16384,507500,sharded,24789.381640221087,500,0.2
memo,1000,2048,1000,1000,0.01,8,0.3052097834322075,2048,507500,sharded,6713.415202350874,500,0.2
memo,1000,10000,1000,26215,0.01,8,6.813196071493024,262144,507500,sharded,38476.068683365265,500,0.2
memo,1000,10000,1000,3277,0.01,8,1.072230566965526,32768,507500,sharded,30561.52380801654,500,0.2
memo,1000,4096,1000,1000,0.01,8,0.35371859547141327,4096,507500,sharded,11582.653703969912,500,0.2
memo,1000,10000,1000,6554,0.01,8,1.8981304720644372,65536,507500,sharded,34527.131282351154,500,0.2
memo,1000,8192,1000,1000,0.01,8,0.45413886351363747,8192,507500,sharded,18040.737444515074,500,0.2
